,date-heure,age,sexe,temps_streaming,temps_jeux,reseau_social_pref,streaming_pref,jeux_pref,appareils_utilises,mode_consommation,tranche_age
0,2025-03-29 22:22:00,23,F,90,15,Instagram,Netflix,Aucune,Smartphone,Seul,20-25
1,2025-03-30 12:08:15,30,F,15,15,Tiktok,YouTube,Aucune,Smartphone,Seul,26-30
2,2025-03-30 12:50:43,20,F,150,15,Tiktok,Netflix,"Mobile( Android, IOS)",Smartphone,Seul,<20
3,2025-03-30 13:29:55,20,F,150,15,Instagram,Netflix,Aucune,Smartphone,Seul,<20
4,2025-03-30 13:35:56,22,F,90,15,WhatsApp,YouTube,Aucune,Smartphone,Seul,20-25
5,2025-03-30 16:02:29,22,M,45,15,WhatsApp,YouTube,Aucune,Smartphone,Seul,20-25
6,2025-03-30 16:42:35,22,F,45,15,WhatsApp,Netflix,"Mobile( Android, IOS)",Smartphone,Seul,20-25
7,2025-03-30 16:48:09,19,M,15,15,Instagram,YouTube,Aucune,Smartphone,Seul,<20
8,2025-03-30 16:48:20,22,F,90,15,WhatsApp,YouTube,Aucune,Ordinateur portable,Seul,20-25
9,2025-03-30 17:00:05,19,F,90,45,Tiktok,Amazon Prime Video,"Mobile( Android, IOS)",Ordinateur portable,Accompagne,<20
10,2025-03-30 17:41:03,22,M,150,15,Instagram,Netflix,"Console ( PlayStation, XBox, Nintendo)",Smartphone,Seul,20-25
11,2025-03-30 18:44:21,26,F,150,15,Tiktok,YouTube,"Mobile( Android, IOS)",Smartphone,Seul,26-30
12,2025-03-30 19:05:26,23,F,150,15,WhatsApp,Netflix,Aucune,Smartphone,Seul,20-25
13,2025-03-30 19:43:54,29,M,150,15,WhatsApp,Netflix,"Mobile( Android, IOS)",Smartphone,Seul,26-30
14,2025-03-30 20:33:13,24,M,15,15,WhatsApp,YouTube,Aucune,Smartphone,Seul,20-25
15,2025-03-30 21:17:57,23,M,45,90,Facebook,Netflix,"Console ( PlayStation, XBox, Nintendo)",Smartphone,Seul,20-25
16,2025-03-30 21:32:49,31,M,150,150,WhatsApp,YouTube,"Mobile( Android, IOS)",Smartphone,Seul,30+
17,2025-03-30 22:05:11,18,F,150,15,Tiktok,Netflix,"Mobile( Android, IOS)",Smartphone,Accompagne,<20
18,2025-03-30 22:20:22,26,M,90,15,WhatsApp,YouTube,"Console ( PlayStation, XBox, Nintendo)",Smartphone,Seul,26-30
19,2025-03-30 22:26:26,62,M,150,15,YouTube ,YouTube,Aucune,Smartphone,Seul,30+
20,2025-03-30 23:00:24,22,M,15,15,WhatsApp,YouTube,"Mobile( Android, IOS)",Smartphone,Seul;Accompagne,20-25
21,2025-03-30 23:26:28,19,F,150,45,Tiktok,Netflix,"Mobile( Android, IOS)",Smartphone,Accompagne,<20
22,2025-03-31 10:52:30,22,F,45,15,Tiktok,Netflix,Aucune,Smartphone,Seul,20-25
